	Canotia_holacantha	Celastrus_angulatus	Celastrus_flagellaris	Celastrus_hindsii	Celastrus_hypoleucus	Celastrus_orbiculatus	Celastrus_rosthornianus	Celastrus_scandens	Celastrus_strigillosus	Celastrus_vulcanicola	Empleuridium_juniperinum	Euonymus_alatus	Gyminda_latifolia	Gyminda_tonduzii	Gymnosporia_gentryi	Gymnosporia_haberiana	Gymnosporia_urbaniana	Maytenus_abbottii	Maytenus_aquifolium	Maytenus_boaria	Maytenus_buxifolia	Maytenus_cordata	Maytenus_disticha	Maytenus_distichophylla	Maytenus_domingensis	Maytenus_elliptica	Maytenus_elongata	Maytenus_evonymoides	Maytenus_fasciculata	Maytenus_ficiformis	Maytenus_floribunda	Maytenus_grenadensis	Maytenus_ilicifolia	Maytenus_magellanica	Maytenus_obtusifolia	Maytenus_oleosa	Maytenus_peduncularis	Maytenus_procumbens	Maytenus_rigida	Maytenus_robusta	Maytenus_salicifolia	Maytenus_undata	Maytenus_verticillata	Maytenus_woodsonii	Moya_spinosa	Mystroxylon_aethiopicum	Paxistima_canbyi	Paxistima_myrsinites	Pseudosalacia_streyi	Pterocelastrus_echinatus	Pterocelastrus_tricuspidatus	Robsonodendron_eucleiforme	Tricerma_texanum	Tripterygium_wilfordii
35 km norte de Xavantina, Sierra de Roncador	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35 km oeste en la carretera de Singida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
35 km S de  Brasilia, en carretera a  Belo Horizonte	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35 km S de Livramento a Brumado 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35 millas W del Rio Santa Maria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4 km N de El Pauji en la carretera a Uaipaur	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4 km oeste de Villa Mills, carretera Interamericana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4 km S de Puerto Escondido en carretera a Aceitillar	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4 km W de Yerba Buena, Quebrada Agua Blanca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44 km al NE de 25 por Ruta Provincial 5, en direccion a Puente Lavalle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
